"sguid","TableCat","orig","region","hincomex2","agex2","statex","state2","rake_wt"
"00080014f7dce1a0dc79e8128d50c33d",1,1,5,2,3,"SE","SC",0.810596302483973
"00515f0536c75e41113eebc535395864",1,1,5,3,2,"SE","FL",1.93218831993066
"006913babeb4fc8a46510f18cfbeb3e8",1,1,4,1,3,"SC","TX",0.32165157971102
"007367b0d09aa8f01deb592d0c816016",1,1,3,2,3,"","",0.603046884503122
"00d67e1369fd29e06d27ecc796640849",1,1,2,1,3,"NE","NY",0.170105572211093
"00dd5b3f6d574933e01afcb2ba08fdc4",1,1,2,3,2,"NE","PA",1.34053682141569
"00e922ca9efac5d400f2da5f491370b2",1,1,3,2,3,"NP","CO",0.603046884503122
"00fed4f80782d39b69e9d5e721580ac2",1,1,4,3,3,"","",0.976437201427753
"010c43e46073f82ba10e52b4cec9db95",1,1,3,1,3,"NP","MT",0.182404565731789
"011620734c601fde218ba71ec7566388",1,1,1,3,3,"GL","IN",0.598068803420894
"01397f8a89217e01a9b26d32c11b48b8",1,1,2,3,3,"NE","CT",0.516389221611446
"018d9facf4d69f9490c239d5d8636866",1,1,2,3,2,"","",1.34053682141569
"01a7012290a901d7dc7b6053e3379bfb",1,1,6,1,3,"WE","OR",0.165163840042542
"01e0b51b4ac28ca4eaa6a0906d5050fa",1,1,3,2,3,"NP","MN",0.603046884503122
"01f45ac045fc4dd2b536113ba4dc976d",1,1,4,3,3,"SC","TX",0.976437201427753
"021e01299b9e0b68425646038c4777ac",1,1,5,3,3,"SE","GA",0.744299751111666
"028ff4c386477936a7d10dda78e3992d",1,1,5,2,3,"SE","NC",0.810596302483973
"02914f5d2901d6a90de663de33d187e4",1,1,6,1,3,"WE","ID",0.165163840042542
"02d09488ccc463aea2fce53a0c8ed685",1,1,1,1,1,"GL","IN",1.4901943786471
"02ddd9d78e87faec31a7aa39b48f3b32",1,1,4,3,3,"SC","NM",0.976437201427753
"02ea934412874e7cb8186e1f7abd433b",1,1,4,2,3,"SC","TX",1.06341078833222
"02ecc138e403d384a66b339f12c6ee8f",1,1,2,2,3,"NE","PA",0.562385239355018
"030ed17bbdc572a011e1db395737f9e8",1,1,2,1,3,"NE","PA",0.170105572211093
"0344c00e3fd30fefa07fa405fe512bbe",1,1,3,2,2,"NP","SD",1.56549850361658
"037b3c1bf8639dc8f8d13d8ce0a241f9",1,1,2,2,3,"NE","NY",0.562385239355018
"0384eb507a044109e0004cb4bb10b535",1,1,3,3,3,"NP","CO",0.553725257158097
"038574f91a4bd370e3910d03cca2d817",1,1,5,3,3,"SE","KY",0.744299751111666
"03ad0f11e9e1e97a0fdf925ad79782e1",1,1,5,1,2,"","",0.636488884790676
"03b2cb96955d86413ad08e77dd8e853d",1,1,3,2,3,"NP","SD",0.603046884503122
"03d5b0e495ab6976d1a6a211363ceeb1",1,1,2,3,3,"NE","NJ",0.516389221611446
"03e320c3b4378f672d46b031003781f6",1,1,3,3,3,"NP","WY",0.553725257158097
"03fc6f47d7449108031b4d7bd3417fa0",1,1,4,3,3,"SC","TX",0.976437201427753
"0402238200c878fa7a2534cddd8abb8f",1,1,1,2,3,"GL","IL",0.651340216035163
"042ab6a6601c2cbc7f6a82761ebf8ddb",1,1,1,3,2,"GL","OH",1.5525754976524
"045bc60c610b986c94e03f0596d08763",1,1,2,1,3,"NE","PA",0.170105572211093
"04853f1f4c7a30039373091293c129be",1,1,6,2,3,"WE","ID",0.54604740166802
"04a6b7ff11aba1e3153e5d24e091bf59",1,1,2,3,3,"NE","VT",0.516389221611446
"04adac4068c3a8485443cb5164c35e6d",1,1,2,2,2,"NE","PA",1.45994162857129
"04bd6f2ed2d2b7ccf0b0bb0b40bc9d7f",1,1,2,1,3,"NE","NY",0.170105572211093
"04d93068572ff112fb1cb4986731ac62",1,1,6,1,2,"WE","NV",0.428762258926534
"04fea2932d00980d9303439538aeeda8",1,1,6,2,2,"WE","AZ",1.41752890559968
"0500cdc8209838b0e2312adb8effd0f5",1,1,3,3,3,"NP","ND",0.553725257158097
"051b2142f5b9e715dc79470ac9065939",1,1,5,1,3,"","",0.245182373606338
"0574316ef6f3b63189735a5e200e1515",1,1,1,2,3,"GL","IA",0.651340216035163
"059eae3340ea59d5ca87e65bed4ab039",1,1,2,3,3,"NE","NJ",0.516389221611446
"05dbba6a76b6c56b69d7f0ec3a8b16d8",1,1,3,3,3,"NP","MN",0.553725257158097
"05dda5dc67c9e9a1d8c2314775b0b5a9",1,1,2,2,3,"NE","NY",0.562385239355018
"05ea288e921a105054eb1d0855b2fb41",1,1,3,3,3,"NP","UT",0.553725257158097
"0633b249cf61b237fa2e1ca79a06d430",1,1,3,2,3,"NP","CO",0.603046884503122
"064526fb64952a35db462b08b7fae104",1,1,4,1,3,"SC","AR",0.32165157971102
"066c7c3c9579cd9334987925d9bea6de",1,1,6,2,3,"WE","NV",0.54604740166802
"06f87244f24a88dfec5244efefae51a1",1,1,6,3,3,"WE","WA",0.501387612935374
"07459e69dd89778dfa1d336a4352bdfc",1,1,4,2,3,"SC","TX",1.06341078833222
"07499345580392da0c39df7c5d3b58e5",1,1,3,1,3,"NP","MN",0.182404565731789
"076655a8b034456f38991ede4deead1f",1,1,2,1,3,"NE","PA",0.170105572211093
"07715a8f8dd118d3a1f9a37c9b77b292",1,1,,,,"","",1
"077300911c99f51d24d0013275e1526e",1,1,2,2,3,"","",0.562385239355018
"07c714f3c8720c13ea5ca791b8d341bb",1,1,5,1,2,"SE","GA",0.636488884790676
"07e9f69fc8a76276a9237ce5511ff556",1,1,3,2,3,"NP","NE",0.603046884503122
"07ea2a6a7e2110317d9a0faf9e8b8f87",1,1,6,2,3,"WE","OR",0.54604740166802
"08016017141f48171251a67c3ce86d4e",1,1,5,1,3,"SE","FL",0.245182373606338
"0807ef9d42feb43b28476685ebb2a3f1",1,1,2,3,3,"NE","NJ",0.516389221611446
"0816ae30cad858c22cd182ad2a0ba25f",1,1,5,1,3,"SE","FL",0.245182373606338
"083b523190ed5dda7a7372a16ed922a2",1,1,4,2,3,"SC","TX",1.06341078833222
"086bcee85d0a153c4be2d61ba960f956",1,1,2,3,3,"NE","DE",0.516389221611446
"08731a7343e23776153545231f5aec5c",1,1,6,2,3,"WE","ID",0.54604740166802
"08a2b2d45558c67c8075d454979cd590",1,1,5,3,2,"","",1.93218831993066
"08ce9006e59d874b232c46a1b9aa00aa",1,1,2,3,3,"NE","VA",0.516389221611446
"08e17fd6618598f0f7486637927ba0f6",1,1,5,2,3,"SE","FL",0.810596302483973
"08f6065b465843589eff31f8a982172d",1,1,6,3,3,"WE","AZ",0.501387612935374
"092ee8edb00c0c03a8f4279427623dfa",1,1,2,2,3,"NE","PA",0.562385239355018
"0958f336b58a0d462136db51e7e7810b",1,1,5,2,3,"","",0.810596302483973
"095b4b15da48b1a8f4833fd017186520",1,1,2,2,2,"NE","NY",1.45994162857129
"096989fdaed32b2bbd41bdff2bf8549f",1,1,5,3,3,"SE","KY",0.744299751111666
"09730b8506e75f6f7e06cf4a09ef6fdf",1,1,1,2,3,"GL","WI",0.651340216035163
"097be36e5922d712245b78c8b6dcbef2",1,1,5,2,3,"SE","FL",0.810596302483973
"09bd36aa951e656e882b6122759670f8",1,1,1,2,3,"GL","WI",0.651340216035163
"09c6658255f2854fe551451cab162f41",1,1,3,2,2,"NP","MN",1.56549850361658
"09d7d7e92a4ba72886a4e5e38df6da71",1,1,6,1,3,"WE","OR",0.165163840042542
"0a21b4f32dcdd424702df9e04a3b2162",1,1,3,2,3,"NP","WY",0.603046884503122
"0a229252864aff26081b6141f1688e9a",1,1,6,3,3,"WE","CA",0.501387612935374
"0a27d49b7d6376746fdea19ff68f4d33",1,1,2,1,3,"NE","PA",0.170105572211093
"0a2d817b8cfe0942f8324f86d8c9b8dc",1,1,5,2,3,"SE","SC",0.810596302483973
"0a363cae154213af33e8bed9942188fc",1,1,5,3,3,"SE","FL",0.744299751111666
"0a4e3912effd916e089ddff7fbdaf5c5",1,1,6,2,3,"WE","OR",0.54604740166802
"0a9005dceb1dc9d8a15c843c9e912fb1",1,1,5,2,2,"SE","FL",2.10429293506982
"0a965cd48242af562dd155d574090469",1,1,6,3,3,"WE","ID",0.501387612935374
"0ab2c11216ca267682202840d6b27130",1,1,3,3,3,"NP","MN",0.553725257158097
"0ab3e7e57ea459abd0a49afdf9117e2a",1,1,1,3,3,"GL","IN",0.598068803420894
"0ab562476045a73acf03171f81f1e962",1,1,3,2,3,"NP","KS",0.603046884503122
"0b70216049c984481ad6975046a4ca70",1,1,6,1,1,"WE","CA",1.24929606434222
"0b73450be0c657d937ca2c16dc0279a6",1,1,2,2,3,"NE","NY",0.562385239355018
"0b84fb8a04a082b1103011301190dcb1",1,1,3,1,3,"NP","MN",0.182404565731789
"0b85d77f45a9930f0cfd58f508527dd5",1,1,2,3,3,"NE","MD",0.516389221611446
"0b87691c866c9d73ee099f61347d32ee",1,1,2,3,3,"NE","NH",0.516389221611446
"0b8d3e45eacffa37bbfb8a930b1eb70e",1,1,6,1,2,"","",0.428762258926534
"0b9aee10c2ee25d585341cf78eed6aa5",1,1,2,3,2,"NE","NY",1.34053682141569
"0c5dd508899f5e22aaaa13626057b361",1,1,6,3,3,"WE","OR",0.501387612935374
